id,groups
10529,10
10530,10
10531,10
10533,10
10534,10
10535,10
10537,10
10538,10
10540,10
10541,10
10543,10
10544,10
10545,10
10547,10
10549,10
10550,10
10551,10
10554,10
10555,10
10556,10
10557,10
10558,10
10561,10
10562,10
10564,10
10565,10
10566,10
10567,10
10568,10
10569,10
10570,10
10571,10
10573,10
10574,10
10575,10
10576,10
10577,10
10578,10
10579,10
10580,10
10581,10
10583,10
10584,10
10586,10
10588,10
10589,10
10592,10
10593,10
10594,10
10595,10
10596,10
10597,10
10598,10
10599,10
10600,10
10601,10
10603,10
10604,10
10606,10
10607,10
10609,10
10610,10
10612,10
10613,10
10614,10
10616,10
10618,10
10619,10
10620,10
10621,10
10622,10
10623,10
10624,10
10625,10
10627,10
10629,10
10630,10
10631,10
10633,10
10634,10
10635,10
10637,10
10638,10
10639,10
10640,10
10641,10
10642,10
10643,10
10644,10
10645,10
10648,10
10650,10
10652,10
10654,10
10655,10
10656,10
10657,10
10658,10
10659,10
10660,10
10661,10
10663,10
10664,10
10665,10
10666,10
10667,10
10670,10
10671,10
10672,10
10673,10
10674,10
10675,10
10676,10
10678,10
10679,10
10680,10
10681,10
10682,10
10683,10
10684,10
10685,10
10687,10
10688,10
10689,10
10691,10
10693,10
10694,10
10696,10
10697,10
10698,10
10700,10
10701,10
10702,10
10703,10
10704,10
10705,10
10706,10
10707,10
10708,10
10712,10
10714,10
10716,10
10717,10
10718,10
10720,10
10721,10
10723,10
10724,10
10726,10
10727,10
10728,10
10729,10
10730,10
10731,10
10732,10
10733,10
10734,10
10735,10
10736,10
10737,10
10739,10
10740,10
10742,10
10743,10
10745,10
10746,10
10747,10
10749,10
10750,10
10751,10
10752,10
10753,10
10754,10
10755,10
10756,10
10757,10
10758,10
10759,10
10760,10
10761,10
10762,10
10763,10
10765,10
10766,10
10767,10
10768,10
10769,10
10770,10
10771,10
10772,10
10773,10
10774,10
10775,10
10776,10
10777,10
10778,10
10780,10
10781,10
10782,10
10783,10
10785,10
10786,10
10787,10
